ambigous_result,genre,name,no_result,origin
1,,Colin Dale,0,
1,,Pino Arduini,0,
0,acid house,Jeff Mills,0,
0,disco house,Paul Van Dyk,0,
0,electroclash,DJ Hell,0,
1,,Max Durante,0,
0,float house,Willow,0,
1,,St.Paul,0,
0,german techno,Patrick Zigon,0,
1,,Oliver Klein,0,
1,,Ondrej,0,
0,bubble trance,Taucher,0,
1,,Dubfunk,0,
0,,Everstone,0,
0,,Massive Jay,1,
0,,Groombridge,0,
0,,Painhead,0,
0,,shEver,0,
0,garage rock,Mando Diao,0,
0,alternative metal,Foo Fighters,0,
1,,Round Table Knights,0,
0,minimal tech house,Agnès,0,
0,,Storlon,0,
0,minimal tech house,Mirko Loko,0,
0,detroit techno,Ricardo Villalobos,0,
0,future ambient,Volta,0,
1,,Dandy Jack,0,
0,minimal tech house,Digitaline,0,
0,german techno,Guido Schneider,0,
1,,Jacqui,0,
0,big beat,Stanton Warriors,0,
1,,Eric Borgo,0,
0,dancehall,Luciano,0,
0,acid house,Coldcut,0,
0,,Shahira,0,
0,french folk pop,Babylon Circus,0,
0,,Sinner DC,0,
0,brooklyn indie,Black Dice,0,
0,pixie,NORMANDIE,0,
0,avant-garde jazz,ANDREW HILL,0,
1,,BERTRAND BLESSING,0,
0,avant-garde jazz,BILL FRISELL,0,
1,,AHMAD MANSOUR,0,
0,,NICOLAS MASSON,0,
0,bebop,CHRIS POTTER,0,
0,,INSTANT COMPOSER POOL ORCHESTRA / ICP,1,
0,,MICHEL JONASZ (ABRAHAM),1,
0,power-pop punk,JULIETTE & THE LICKS,0,
0,big beat,THE PRODIGY,0,
0,alternative dance,VITALIC,0,
0,electro dub,LE PEUPLE DE L'HERBE,0,
0,,Robbie Romero,1,
0,,Scarlett Etienne,0,
1,,LOLE,0,
0,boogaloo,YURI BUENAVENTURA,0,
0,,LO JO,0,
0,french folk pop,CYRZ,0,
1,,MOUSS  & HAKIM,0,
0,dancehall,BURNING SPEAR,0,
0,french reggae,PATRICE,0,
0,dancehall,GROUNDATION,0,
0,swiss rock,WILLIAM WHITE,0,
0,chanson,YVES JAMAIT,0,
1,,Reto Ardour,0,
0,,Matt Grey,0,
0,deep disco house,Marc Romboy,0,
0,,SIMON GERBER,0,
0,cabaret,MAXIME LE FORESTIER,0,
0,deep disco house,Phonique,0,
1,,DOCTOR L,0,
0,,NAPOLEON WASHINGTON,0,
0,desert blues,ISSA BAGAYOGO,0,
0,belgian rock,DEUS,0,
0,folk metal,IN EXTREMO,0,
1,,TOOL,0,
0,electronic,ARCHIVE,0,
0,british indie rock,ART BRUT,0,
1,,PEACOCKS,0,
0,alternative metal,TRIVIUM,0,
0,alternative metal,APOCALYPTICA,0,
0,dark wave,THE SISTERS OF MERCY,0,
0,garage rock,ARCHIE BRONSON OUTFIT,0,
0,britpop,THE CARDIGANS,0,
0,britpop,ELBOW,0,
0,alternative rock,PLACEBO,0,
0,alt-indie rock,BABYSHAMBLES,0,
0,melodic hardcore,LAGWAGON,0,
1,,THERAPY ?,0,
0,britpop,STARSAILOR,0,
0,garage rock,THE DATSUNS,0,
0,alternative metal,LIVE,0,
0,dance rock,DEPECHE MODE,0,
1,,HARD FI,0,
0,classic swedish pop,THE SOUNDTRACK OF OUR LIVES,0,
0,neo-progressive,AMPLIFIER,0,
0,argentine reggae,KARAMELO SANTO,0,
0,danish pop,KASHMIR,0,
0,melodic hardcore,MAD CADDIES,0,
0,deep german hip hop,SEEED,0,
0,alt-indie rock,MAXIMO PARK,0,
0,glam metal,BACKYARD BABIES,0,
1,,SPECK,0,
