ambigous_result,genre,name,no_result,origin
0,,lilabungalow,0,
0,,HERBERT GRÖNEMEYER MONTREUX,1,
0,,MusicWithDavidAknin,1,
1,,Dernière,0,
0,,Dernière ST. MORITZ,1,
0,,Laura Pausini Fans Club Argentina,1,
0,celtic,LOREENA MCKENNITT,0,
1,,Nemesi,0,
0,,Davide Cucchi,1,
0,,Fabio Monesi,0,
0,,Stefano Di Miceli,0,
0,,Marcello Carozzi,0,
0,,ganz grosse Liebe,1,
0,,Chorus Musicus Köln,0,
1,,Das Neue Orchester,0,
0,acid jazz,MORCHEEBA,0,
0,,Sp/df MURTEN,1,
0,,Un cuento chino,1,
0,album rock,Armored Saint,0,
0,,Männerherzen ... und die ganz,1,
0,alternative emo,Defeater,0,
1,,All Teeth,0,
0,,ALL TEETH ZÜRICH,1,
0,,Eine wen iig,1,
0,,dr Dällebach Kari,1,
0,alternative rock,DESCENDENTS,0,
0,alternative metal,Seether,0,
0,,Dialekt WOHLEN AG,1,
0,,OmarSouleyman2,1,
0,dance pop,ROXETTE,0,
0,,The best exotic Marigold Hotel,1,
0,,6     jours  ABONNEMENT,1,
0,,17  MARDI,1,
0,,The Dragon Tattoo,1,
1,,The Girl,0,
0,,5     jours  ABONNEMENT,1,
0,alternative rock,THE CURE,0,
0,,Männerherzen... und die ganz,1,
0,,18  MERCREDI,1,
0,deep full on,< HETEROGENESIS >,0,
0,,Gogol Bordello ZÜRICH,1,
0,,Das Hochzeitsvideo,1,
0,,Rizoma Records,1,
0,,Xminder,1,
1,,Glitz,0,
0,,Edf WOHLEN AG,1,
0,,Six Reasons to Kill,0,
1,,Pragmatix,0,
1,,Robert Carl Blank,0,
0,contemporary country,LADY ANTEBELLUM,0,
1,,Plex Rock,0,
0,french reggae,Taiwan Mc,0,
1,,Lush One,0,
0,,19  JEUDI,1,
0,,Charlotte 'dirty' White trombone,1,
0,,4     jours  ABONNEMENT,1,
1,,The Souls,0,
0,,CABADZI,0,
0,electro trash,Dumme Jungs,0,
0,,20  VENDREDI,1,
1,,V.I.A.,0,
0,,Alex Kleve,1,
0,,Blue Balls Festival 12,1,
0,,Recital Julia Fischer,1,
0,,Sum 41 ZÜRICH,1,
0,indie folk,Kyla La Grange,0,
0,psychobilly,The Silver Shine,0,
0,big room,David Puentez,0,
0,,Lë Toor,0,
0,,Jutze/Juizä uf äm Brünig,1,
0,,Hugh Laurie ZÜRICH,1,
0,,Scandinavian Air SAANEN,1,
0,,Hugh Laurie fans,1,
0,,Eric Duncan,0,
0,,Rub N Tug,1,
0,balearic,Still Going,0,
0,,Dror Kessler Music,1,
0,,Dr.Gregory House/Hugh Laurie,1,
0,,Yemen Blues - Ravid Kahalani,1,
1,,Gstaad,0,
0,,Matinee Des Jeunes Etoiles,1,
0,,Matinee Des Jeunes Etoiles I,1,
0,acoustic pop,JAMES MORRISON,0,
